source_table,data_layer,数据获取方,来源编号,指标,year,数值,单位,数据来源,原始数列名,source_label,visitor_count_10k_persons,tourism_value_100m_cny,visitor_scope,tourism_value_metric,frequency,data_status,source_url,source_note,period_start,period_end,region_name,facility_or_scope,metric_scope,geographic_comparability,value_qualifier,tourism_income_100m_cny
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,入境旅游人次,1999.0,116.0,千人次,秦皇岛市统计局,旅游人数:入境:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,入境旅游人次,2000.0,139.3,千人次,秦皇岛市统计局,旅游人数:入境:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,入境旅游人次,2001.0,140.01,千人次,秦皇岛市统计局,旅游人数:入境:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2002.0,8011.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2003.0,5923.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2004.0,12120.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2005.0,13020.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2006.0,14090.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2007.0,15100.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2008.0,12268.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2009.0,16384.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2010.0,18605.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2011.0,21012.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2012.0,23130.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2013.0,25652.4,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2014.0,28519.7,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2015.0,33440.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2016.0,41889.3,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2017.0,52235.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2018.0,62179.8,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2019.0,72276.7,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2020.0,26801.1,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2021.0,31229.3,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2022.0,18857.8,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
annual_city_tourism_1999_2024.csv,L0,用户提供,L0-A1b,国内旅游人次,2023.0,80255.2,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics,,,,,,,,,,,,,,,,
