source_table,area_evidence_id,data_layer,数据获取方,来源编号,region_code,片区名,attraction_name,面积原值,原单位,area_m2,面积类型,是否为有效浏览面积,来源等级,说明,来源URL,model_usable_raw,口径冲突,is_model_usable,附录表号,景区类型,示例景区,空间类型,人均空间承载指标,单位,来源,可信度,备注,per_capita_space_lower_m2,per_capita_space_upper_m2,per_capita_space_baseline_m2,region_name,resource_category,facility_or_scope,parameter_name,numeric_value,unit,period_or_as_of,constraint_role,data_status,source_url,source_note,anchor_id,period,direct_use,usage_boundary,as_of_date,facility_name,resource_type,capacity_value,capacity_unit,geographic_comparability,period_start,period_end,day_type,time_start,time_end,metric_name,metric_value,evidence_type,is_hourly_count
attraction_effective_area.csv,area_001,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,鸽子窝公园(整合后),3.17,km²,3170000.0,整合景区总面积(2018改造后),⚠️ 部分可用,A_政府或部委,封闭景区1.49km²(陆地0.7+滩涂2.47? 实际陆地0.7km²为硬游览空间;开放景区为5.5km海岸线+金屋浴场至赤土山大桥,http://qhd.gov.cn/front_wmwz_thi.do?uuid=09CE7F5F0C7FF14F80421DEA4DEC8422,部分_需折算,是_同点位多口径,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_002,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,鸽子窝公园(原/纪检版),0.43,km²,430000.0,景区面积(纪委廉政教育基地口径),✅ 可直接用,A_政府或部委,"纪委官网口径,鹰角亭-鸟类博物馆-伟人广场等20处景观",https://www.qhdjw.gov.cn/home/details?code=ODIzMTY3NDI3NTYz&id=408328&pcode=MA%CE%B3%CE%B3,是,是_同点位多口径,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_003,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,鸽子窝公园(传统口径),300.0,亩,200000.0,原占地面积,⚠️ 旧口径,C_百科或商业站,改造前原公园约300亩;改造后已扩大10倍至3.17km²,http://xn--xmqz81abuiblkxnm47fpx5d.xn--ses554g/,部分_需折算,是_同点位多口径,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_004,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,老虎石海上公园,33000.0,㎡,33000.0,占地面积,✅ 可直接用,C_百科或商业站,"国家2A级,百年浴场,岸线+礁石区",https://baike.baidu.com/view/4749012.htm,是,否,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_005,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,碧螺塔海上酒吧公园,106.0,亩,70666.7,陆域占地面积,✅ 陆域可直接用,B_官方媒体或平台,海域1.5km²不计入有效面积;海岸线280°环海,https://www.peopleapp.com/rmharticle/30030208712,是,否,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_006,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,联峰山公园,6000.0,亩,4000000.2,景区总占地,⚠️ 偏大,C_百科或商业站,"实际游览动线集中在本部登山区,建模建议取核心区",https://www.newton.com.tw/wiki/%E8%81%AF%E5%B3%B0%E5%B1%B1%E5%85%AC%E5%9C%92,部分_需折算,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_007,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,秦皇岛野生动物园,3500.0,亩,2333333.5,占地面积,⚠️ 散养园区,C_百科或商业站,"注:另有资料称334公顷/5000亩,以3500亩为主流官方口径",https://baike.baidu.com/view/411894.html,部分_需折算,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_008,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,浅水湾浴场,50000.0,㎡,50000.0,浴场腹地估算,❌ 估算,C_百科或商业站,"东西长约3000m,沙质最细;无官方精确面积,需敏感性分析",https://www.toutiao.com/article/7386961374537810447,否_非游览面积,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_009,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,浅水湾别墅地块,42909.34,㎡,42909.3,总用地面积,❌ 非游览面积,C_百科或商业站,"此为别墅项目用地,非公共浴场面积",https://www.baike.com/wikiid/5898204439945003174,否_非游览面积,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_010,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,集发农业梦想王国,800.0,亩,533333.4,占地面积,✅ 可直接用,B_官方媒体或平台,"国家4A级,含活菜工厂/果蔬农科馆/主题乐园等六大区",https://hebei.hebnews.cn/2019-01/28/content_7341141.htm,是,否,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_011,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,怪楼奇园,99.0,亩,66000.0,园区占地,⚠️ 园区级,C_百科或商业站,"主楼建筑面积999㎡,设99处景点;含暗道/山石瀑布",https://baike.baidu.com/view/514321.htm,部分_需折算,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_012,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,奥林匹克大道公园,15.56,公顷,155600.0,占地面积,✅ 可直接用,C_百科或商业站,"国内首个奥运主题公园,含浮雕墙/冠军手足印",https://baike.baidu.com/item/%E5%8C%97%E6%88%B4%E6%B2%B3%E5%A5%A5%E6%9E%97%E5%8C%B9%E5%85%8B%E5%A4%A7%E9%81%93%E5%85%AC%E5%9B%AD,是,否,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_013,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,北戴河森林湿地/海岸线生态恢复,53.0,公顷,530000.0,建设面积,⚠️ 生态保护区,B_官方媒体或平台,"1.6万亩滨海走廊的一部分,观鸟为主,非高密度游览",https://news.sina.com.cn/c/2009-06-20/030015819758s.shtml,部分_需折算,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_014,L0,用户提供,L0-C21,BDH,北戴河滨海度假区,北戴河国家湿地公园,306.7,公顷,3067000.0,规划总面积,❌ 生态保护区,C_百科或商业站,"湿地165.67公顷,非游览面积",快懂百科/北戴河国家湿地公园,否_非游览面积,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_015,L0,用户提供,L0-C21,SHG,山海关历史文旅区,山海关景区(总),33.27,km²,33270000.0,5A景区地理范围,❌ 地理上限,B_官方媒体或平台,"长城沿线两侧各约150m,非有效面积",https://article.xuexi.cn/articles/index.html?art_id=5263541105244901020,否_非游览面积,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_016,L0,用户提供,L0-C21,SHG,山海关历史文旅区,山海关古城(关城+东罗城),150.0,万㎡,1500000.0,总占地面积,⚠️ 含城墙/街道,B_官方媒体或平台,关城126万㎡+东罗城24万㎡,http://www.he.xinhuanet.com/zfwq/shanhaiguan/gaikuang/,部分_需折算,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_017,L0,用户提供,L0-C21,SHG,山海关历史文旅区,山海关关城(本体),126.0,公顷,1260000.0,关城占地面积,⚠️ 含城内街道民居,B_官方媒体或平台,"6000米城墙,东西南北四门",新华网/山海关景区旅游网,部分_需折算,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_018,L0,用户提供,L0-C21,SHG,山海关历史文旅区,天下第一关(核心景区),0.1,km²,100000.0,核心景区占地,✅ 可直接用,C_百科或商业站,箭楼/靖边楼/瓮城/一关广场/1350m明长城,夸克百科/山海关景区旅游网,是,否,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_019,L0,用户提供,L0-C21,SHG,山海关历史文旅区,老龙头景区(对外开放),600.0,亩,400000.0,对外开放占地面积,✅ 可直接用,A_政府或部委,宁海城/澄海楼/入海石城等28处景观,http://www.qhd.gov.cn/front_pcthi.do?COLLCC=664676070,是,是_同点位多口径,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_020,L0,用户提供,L0-C21,SHG,山海关历史文旅区,老龙头景区(另一口径),700.0,亩,466666.7,总占地面积,⚠️ 含未开放,C_百科或商业站,入海石城/海神庙/靖卤台等七部分,https://www.toutiao.com/article/7546430972770697768,部分_需折算,是_同点位多口径,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_021,L0,用户提供,L0-C21,SHG,山海关历史文旅区,角山景区,3.0,km²,3000000.0,区域面积,⚠️ 山地景区,B_官方媒体或平台,"主峰519m,长城1960m;游览动线<总面积",https://s.visitbeijing.com.cn/attraction/120815,部分_需折算,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_022,L0,用户提供,L0-C21,SHG,山海关历史文旅区,孟姜女庙(围墙内),1.6,亩,1066.7,庙宇围墙内,✅ 硬游览空间,C_百科或商业站,前殿/后殿/钟亭/望夫石,https://baike.baidu.com/item/%E5%AD%9F%E5%A6%87%E5%A5%B3%E5%BA%99/1512017,是,是_同点位多口径,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_023,L0,用户提供,L0-C21,SHG,山海关历史文旅区,孟姜女庙(保护范围),31.8,市亩,21200.0,保护范围,⚠️ 外围保护,C_百科或商业站,建模推荐取此值,今日头条/《志载冀往》,部分_需折算,是_同点位多口径,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_024,L0,用户提供,L0-C21,SHG,山海关历史文旅区,孟姜女庙(景区总),2.125,万㎡,21250.0,景区总占地,⚠️ 含孟姜女苑,B_官方媒体或平台,秦皇岛博物馆口径,http://mp.weixin.qq.com/s?__biz=Mzk4ODA3NDgwNg==,部分_需折算,是_同点位多口径,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_025,L0,用户提供,L0-C21,HGA,海港区,秦皇岛港口工业旅游区(总),3.12,km²,3120000.0,景区总面积(一核两翼),⚠️ 部分可用,C_百科或商业站,一核2.72km²+东港区0.37km²+集装箱港区0.03km²,http://mp.weixin.qq.com/s?__biz=MjM5MTMwNDEwMQ==&mid=2649982439&idx=2,部分_需折算,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_026,L0,用户提供,L0-C21,HGA,海港区,西港花园(开埠地/起步区一期),1200.0,亩,800000.0,一期工程占地,✅ 可直接用,A_政府或部委,含大码头/甲码头/乙码头/南栈房/老港路等,http://www.qhd.gov.cn/front_wmcs_thi.do?uuid=38B04E30C7D6CAFF6FE172D063A9F2DD,是,否,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_027,L0,用户提供,L0-C21,HGA,海港区,港口工业旅游区·东港区,0.37,km²,370000.0,分区面积,⚠️ 含作业区,C_百科或商业站,含煤三期翻车机房/第九港务公司部分作业区,同上,部分_需折算,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_028,L0,用户提供,L0-C21,HGA,海港区,港口工业旅游区·西港集装箱港区,0.03,km²,30000.0,分区面积,⚠️ 工业参观,C_百科或商业站,1205米集装箱码头参观廊道,同上,部分_需折算,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_029,L0,用户提供,L0-C21,HGA,海港区,金梦海湾商务旅游度假区(总),4.66,km²,4660000.0,辖区总面积,❌ 片区行政边界,A_政府或部委,"定位""海岸核心区"",含地产/酒店/商业",https://www.qhdhgq.gov.cn/zwgk_show.aspx?id=10083,否_非游览面积,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_030,L0,用户提供,L0-C21,HGA,海港区,金梦海湾浴场沙滩,330000.0,㎡,330000.0,浴场沙滩面积,✅ 有效面积核心,C_百科或商业站,"环渤海最大开放式百姓海水浴场,海岸线4.16km",网易新闻/金梦海湾发展中心公众号,是,否,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_031,L0,用户提供,L0-C21,HGA,海港区,金梦海湾规划总建筑/占地,2700.0,亩,1800000.1,占地总面积,❌ 含地产,C_百科或商业站,"规划总建筑312.97万㎡,含7座五星酒店/住宅",https://www.toutiao.com/article/6721960860283060747/,否_非游览面积,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_032,L0,用户提供,L0-C21,HGA,海港区,新澳海底世界,20000.0,㎡,20000.0,总建筑面积,✅ 可直接用,A_政府或部委,含海底隧道/海豚馆/企鹅馆;储水650万kg,http://qhd.gov.cn/front_pcsec_qjqhd.do?COLLCC=3064630400&p=3&tid=57CC6703E85C57DE01E53E04E91FDBD1,是,是_同点位多口径,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_033,L0,用户提供,L0-C21,HGA,海港区,新澳海底世界(占地),31.0,亩,20666.7,占地面积,⚠️ 仅供参考,C_百科或商业站,建筑面积2万㎡与占地31亩并存,https://wiki5.baike.com/wikiid/6008428262762611040,部分_需折算,是_同点位多口径,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_034,L0,用户提供,L0-C21,HGA,阿那亚休闲片区,阿那亚·北戴河新区(总规划),6500.0,亩,4333333.5,社区总规划占地,❌ 含私域/未开放,A_政府或部委,"从3300亩扩展至6500亩,含沙滩/沙丘/湿地/林地",http://www.bdhxq.gov.cn/home/searchdetails?id=28181&pcode=MA%CE%B3%CE%B3,否_非游览面积,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_035,L0,用户提供,L0-C21,HGA,阿那亚休闲片区,阿那亚社区(北区扩展后),6500.0,亩,4333333.5,总占地,❌ 同上,B_官方媒体或平台,"官网称""从3300亩逐渐扩展到6500亩""",https://www.aranya.cc/wen-lu-du-jia-main.html,否_非游览面积,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_036,L0,用户提供,L0-C21,HGA,阿那亚休闲片区,孤独图书馆(三联书屋),450.0,㎡,450.0,建筑面积,✅ 建筑可游览,C_百科或商业站,"2015年5月开放,三层,距海岸60m;占地358.57㎡",https://baike.baidu.com/item/%E6%9C%80%E5%AD%A4%E7%8B%AC%E7%9A%84%E5%9B%BE%E4%B9%A6%E9%A6%86,是,否,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_037,L0,用户提供,L0-C21,HGA,阿那亚休闲片区,UCCA沙丘美术馆,930.0,㎡,930.0,建筑面积,✅ 建筑可游览,B_官方媒体或平台,"7个室内展厅+3个户外展厅,藏于沙丘下",https://www.ucca.org.cn/program/ucca-dune/,是,否,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attraction_effective_area.csv,area_038,L0,用户提供,L0-C21,HGA,阿那亚休闲片区,七里海度假区(广义/省级),10.48,km²,10480000.0,省级旅游度假区总面积,❌ 行政边界,C_百科或商业站,含阿那亚/阿尔卡迪亚/如是海/渔岛等,今日头条(创建国家级度假区报道),否_非游览面积,否,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.1,文物古迹类,八达岭长城,核心景区,1-1.1,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,1.0,1.1,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.1,文物古迹类,故宫博物院,核心景区,0.8-3,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.8,3.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.1,文物古迹类,龙门石窟、敦煌莫高窟,核心景区,0.5-1,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.5,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.1,文物古迹类,龙门石窟、敦煌莫高窟,洞窟等卡口,2-5,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,2.0,5.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.2,文化遗址类,秦始皇兵马俑博物馆,遗址核心区,2.5-10,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,2.5,10.0,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.2,文化遗址类,秦始皇兵马俑博物馆,（次级区，原表第二列）,1-3,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.3,古建筑类,黄鹤楼、永定土楼,核心景区,1-3,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.3,古建筑类,黄鹤楼、永定土楼,其他区域,2.5,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.4,古街区类,周村古商城,核心景区,2-5,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,2.0,5.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.4,古街区类,周村古商城,其他区域,1-2,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,1.0,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.4,古街区类,周村古商城,保护建筑,0-30,人/栋,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.5,古典园林类,（原表未列具体景区）,其他区域,0.8-2,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.8,2.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.5,古典园林类,（原表未列具体景区）,（特殊区，如水面）,60,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,60.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.6,山岳类,吉林长白山景区,核心景区,1-1.5,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,1.0,1.5,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.6,山岳类,吉林长白山景区,其他区域,0.5-1,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.5,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capacity_space_standard.csv,,L0,用户提供,L0-C20,,,,,,,,,,,,,,,表A.7,主题公园类,中华恐龙园,核心景区,0.5-1,m²/人,LB/T 034-2014《景区最大承载量核定导则》附录A（资料性附录）,A_国家标准,原表数据均来源于景区调研（标准原文注1）,0.5,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
